trial,market,strategy,return_pct,max_dd_pct,vol,c,liquidated
7,spot,per-window matched hold,94.35701878968561,24.970333856954532,0.35221958431999795,0.708918412536622,False
7,futures,buy_and_hold,723.2923563513932,60.49878108155383,1.2333013155196533,,False
7,futures,kelly_regime_v4,126.50972413677191,26.884947124996124,0.408337145984559,,False
7,futures,vol-matched rebalanced c=0.353,44.34343435363797,12.298537130255177,0.17147460916850735,,False
7,futures,vol-matched static     c=0.293,42.380546499381964,17.62156901590068,0.20834587998164467,,False
7,futures,notional-matched reb.  c=0.283,33.768718553656775,9.55232554320044,0.13675202497434757,,False
7,futures,per-window matched hold,121.57705862307151,28.212481049404868,0.41219171039313274,0.8428261033835938,False
8,spot,buy_and_hold,252.73842621816573,32.543386875767716,0.4791259406427357,,False
8,spot,kelly_regime_v4,190.37960201587438,23.474351498298716,0.3568417541020113,,False
8,spot,vol-matched rebalanced c=0.353,63.166433002870434,11.70856215931888,0.17120209201462605,,False
8,spot,vol-matched static     c=0.293,74.0446966600863,17.21033318135976,0.217369671916389,,False
8,spot,notional-matched reb.  c=0.283,49.134476477002195,9.432259144043748,0.13688086360024948,,False
8,spot,per-window matched hold,165.53344511375116,24.829337427115668,0.356057082019686,0.7355878311563465,False
8,futures,buy_and_hold,1262.0440704585603,67.3074629965231,1.1573289447736004,,False
8,futures,kelly_regime_v4,247.83503953954548,23.72392100088519,0.42348731456378763,,False
8,futures,vol-matched rebalanced c=0.353,63.23932015957139,11.700478920825184,0.17119686914836546,,False
8,futures,vol-matched static     c=0.293,73.94813029982224,17.19142936317261,0.21710249669150783,,False
8,futures,notional-matched reb.  c=0.283,49.19956704783783,9.424223962047398,0.13687759664332785,,False
8,futures,per-window matched hold,220.83092442467574,30.8912133703801,0.44342535122623244,0.8729965207080012,False
9,spot,buy_and_hold,23.27943754879158,68.49417056475414,0.6886424262511874,,False
9,spot,kelly_regime_v4,76.02253616167276,27.47810121302543,0.32088546773819576,,False
9,spot,vol-matched rebalanced c=0.353,15.643639657946729,31.052290653346105,0.241759681520073,,False
9,spot,vol-matched static     c=0.293,6.820169443603996,25.572967133598972,0.18066993488326266,,False
9,spot,notional-matched reb.  c=0.283,12.893919362900697,25.602917036037887,0.19386790944356988,,False
9,spot,per-window matched hold,16.438859810059036,40.18680440388946,0.3241654290225122,0.46944973130264644,False
9,futures,buy_and_hold,-98.19548021356789,99.43407827306132,2.8275314748154377,,True
9,futures,kelly_regime_v4,117.32408315828641,23.36039631959237,0.34593625196796324,,False
9,futures,vol-matched rebalanced c=0.353,15.714078138194388,31.03688724051788,0.24175823779945058,,False
9,futures,vol-matched static     c=0.293,6.824540811893232,25.535621799075592,0.18036742726984845,,False
9,futures,notional-matched reb.  c=0.283,12.957493503881935,25.58631920324359,0.19386290455343622,,False
9,futures,per-window matched hold,18.31751555212906,42.439985790809125,0.34935901213487475,0.5061036103512466,False
10,spot,buy_and_hold,173.24327627528538,62.2830449181709,0.8517639733146921,,False
10,spot,kelly_regime_v4,202.2304647537753,24.654054447827093,0.38185931281356006,,False
10,spot,vol-matched rebalanced c=0.353,63.18358307555445,26.39866577111727,0.30058133443821244,,False
10,spot,vol-matched static     c=0.293,50.75502776586107,45.21952173494556,0.5075089362152588,,False
10,spot,notional-matched reb.  c=0.283,47.79699451656128,22.204555370692898,0.2413834608922293,,False
10,spot,per-window matched hold,82.7130140769407,33.266545039727944,0.381973200502439,0.44711849913397206,False
10,futures,buy_and_hold,865.1651311791653,71.17764299091466,1.3406552276903632,,False
10,futures,kelly_regime_v4,242.71710349837315,21.466195824946592,0.39141500960808634,,False
10,futures,vol-matched rebalanced c=0.353,63.349302874635384,26.380828737011612,0.30057458179763136,,False
10,futures,vol-matched static     c=0.293,50.693430878411185,45.19062698938508,0.5070485855259458,,False
10,futures,notional-matched reb.  c=0.283,47.92242968578455,22.190777510545512,0.24137451042921834,,False
10,futures,per-window matched hold,86.94541275796301,33.59906370614987,0.38972456715482273,0.45890748025712236,False
11,spot,buy_and_hold,396.79966935509594,52.932093074990064,0.8682818242026762,,False
11,spot,kelly_regime_v4,268.5138133790679,20.973891330889487,0.46354166110645867,,False
11,spot,vol-matched rebalanced c=0.353,89.05746346339605,22.09753306654538,0.30668213700535835,,False
11,spot,vol-matched static     c=0.293,116.25027342244661,42.028171077944734,0.5534552573562983,,False
11,spot,notional-matched reb.  c=0.283,71.34980352600112,18.152513966861864,0.24712813353655322,,False
11,spot,per-window matched hold,159.98111741224074,31.6591859791778,0.469899924067452,0.5333900193116916,False
11,futures,buy_and_hold,1981.2687452788196,57.907355089304104,1.3691958987572797,,False
11,futures,kelly_regime_v4,350.5265390433128,17.749793258980514,0.4857904900099624,,False
11,futures,vol-matched rebalanced c=0.353,89.17340248830487,22.08999435627101,0.30667316536017647,,False
11,futures,vol-matched static     c=0.293,116.09033532530214,42.007974999331324,0.5530385119387422,,False
11,futures,notional-matched reb.  c=0.283,71.47492203045172,18.146248703733296,0.2471246364840225,,False
11,futures,per-window matched hold,167.2984979341942,33.41390076260179,0.4886741072779118,0.5590075812949835,False
12,spot,buy_and_hold,-21.78301765676265,35.9080181586897,0.38977081628752047,,False
12,spot,kelly_regime_v4,-7.385308644693566,17.790565014752968,0.2144093084997057,,False
12,spot,vol-matched rebalanced c=0.353,-7.974754531210715,14.313665144899668,0.13729509518581443,,False
12,spot,vol-matched static     c=0.293,-6.381763781911065,11.620162027850139,0.11060813575817628,,False
12,spot,notional-matched reb.  c=0.283,-5.696537871501928,11.273445752626365,0.10977951713926053,,False
12,spot,per-window matched hold,-12.131612805230407,21.423483817905815,0.21526221673359613,0.5512095732058855,False
12,futures,buy_and_hold,-98.19548021356785,98.98303877743736,2.7868621304312424,,True
12,futures,kelly_regime_v4,-9.05665021087103,21.66367265893786,0.2844446396422596,,False
12,futures,vol-matched rebalanced c=0.353,-7.9559306746573295,14.310454281421508,0.13727534233076005,,False
12,futures,vol-matched static     c=0.293,-6.357569691061005,11.601847465967209,0.1104227597178703,,False
12,futures,notional-matched reb.  c=0.283,-5.676826027175497,11.269493737080339,0.10977048318474124,,False
